home,homeresult,scorehome,scoreaway,awayresult,away
Brazil,W,2,1,L,Chile
Colombia,W,2,0,L,Uruguay
Netherlands,W,2,1,L,Mexico
Costa Rica,W,2,1,L,Greece
France,W,2,0,L,Nigeria
Germany,W,2,1,L,Algeria
Argentina,W,1,0,L,Switzerland
Belgium,W,2,1,L,United States
Brazil,W,2,1,L,Colombia
France,L,0,1,W,Germany
Netherlands,W,1,0,L,Costa Rica
Argentina,W,1,0,L,Belgium
Brazil,L,1,7,W,Germany
Netherlands,L,2,4,W,Argentina
Brazil,L,0,3,W,Netherlands
Germany,W,1,0,L,Argentina
