home,homeresult,scorehome,scoreaway,awayresult,away
Brazil,W,4,1,L,Chile
Italy,W,1,0,L,Norway
Nigeria,L,1,4,W,Denmark
France,L,0,0,L,Paraguay
Germany,W,2,1,L,Mexico
Netherlands,W,2,1,L,Yugoslavia
Argentina,W,3,2,L,England
Romania,L,0,1,W,Croatia
Italy,L,0,1,W,France
Brazil,W,3,2,L,Denmark
Germany,L,0,3,W,Croatia
Netherlands,W,2,1,L,Argentina
Brazil,W,2,1,L,Netherlands
France,W,2,1,L,Croatia
Netherlands,L,1,2,W,Croatia
Brazil,L,0,3,W,France
