home,homeresult,scorehome,scoreaway,awayresult,away
Cameroon,W,2,1,L,Colombia
Czechoslovakia,W,4,1,L,Costa Rica
Brazil,L,0,1,W,Argentina
Germany,W,2,1,L,Netherlands
Ireland,W,1,0,L,Romania
Italy,W,2,0,L,Uruguay
Spain,L,1,2,W,Serbia
England,W,1,0,L,Belgium
Serbia,L,0,1,W,Argentina
Italy,W,1,0,L,Ireland
Germany,W,1,0,L,Czechoslovakia
England,W,3,2,L,Cameroon
Italy,L,1,2,W,Argentina
Germany,W,2,1,L,England
Italy,W,2,1,L,England
Germany,W,1,0,L,Argentina
