home,homeresult,scorehome,scoreaway,awayresult,away
Germany,W,2,0,L,Sweden
Argentina,W,2,1,L,Mexico
England,W,1,0,L,Ecuador
Portugal,W,1,0,L,Netherlands
Italy,W,1,0,L,Australia
Switzerland,L,0,3,W,Ukraine
Brazil,W,3,0,L,Ghana
Spain,L,1,3,W,France
Germany,W,4,2,L,Argentina
Italy,W,3,0,L,Ukraine
England,L,1,3,W,Portugal
Brazil,L,0,1,W,France
Germany,L,0,2,W,Italy
Portugal,L,0,1,W,France
Germany,W,3,1,L,Portugal
Italy,W,5,3,L,France
