home,homeresult,scorehome,scoreaway,awayresult,away
Brazil,W,2,1,L,Scotland
Morocco,D,2,2,D,Norway
Scotland,D,1,1,D,Norway
Brazil,W,3,0,L,Morocco
Scotland,L,0,3,W,Morocco
Brazil,L,1,2,W,Norway
Cameroon,D,1,1,D,Austria
Italy,D,2,2,D,Chile
Chile,D,1,1,D,Austria
Italy,W,3,0,L,Cameroon
Italy,W,2,1,L,Austria
Chile,D,1,1,D,Cameroon
Saudi Arabia,L,0,1,W,Denmark
France,W,3,0,L,South Africa
France,W,4,0,L,Saudi Arabia
South Africa,D,1,1,D,Denmark
France,W,2,1,L,Denmark
South Africa,D,2,2,D,Saudi Arabia
Paraguay,D,0,0,D,Bulgaria
Spain,L,2,3,W,Nigeria
Nigeria,W,1,0,L,Bulgaria
Spain,D,0,0,D,Paraguay
Spain,W,6,1,L,Bulgaria
Nigeria,L,1,3,W,Paraguay
Netherlands,D,0,0,D,Belgium
South Korea,L,1,3,W,Mexico
Netherlands,W,5,0,L,South Korea
Belgium,D,2,2,D,Mexico
Belgium,D,1,1,D,South Korea
Netherlands,D,2,2,D,Mexico
Yugoslavia,W,1,0,L,Iran
Germany,W,2,0,L,United States
Germany,D,2,2,D,Yugoslavia
United States,L,1,2,W,Iran
Germany,W,2,0,L,Iran
United States,L,0,1,W,Yugoslavia
Romania,W,1,0,L,Colombia
England,W,2,0,L,Tunisia
Colombia,W,1,0,L,Tunisia
Romania,W,2,1,L,England
Romania,D,1,1,D,Tunisia
Colombia,L,0,2,W,England
Jamaica,L,1,3,W,Croatia
Argentina,W,1,0,L,Japan
Japan,L,0,1,W,Croatia
Argentina,W,5,0,L,Jamaica
Japan,L,1,2,W,Jamaica
Argentina,W,1,0,L,Croatia
