home,homeresult,scorehome,scoreaway,awayresult,away
Germany,W,1,0,L,Paraguay
Denmark,L,0,3,W,England
Sweden,L,1,2,W,Senegal
Spain,W,2,1,L,Ireland
Mexico,L,0,2,W,United States
Brazil,W,2,0,L,Belgium
Japan,L,0,1,W,Turkey
South Korea,W,2,1,L,Italy
England,L,1,2,W,Brazil
Germany,W,1,0,L,United States
Spain,L,0,1,W,South Korea
Senegal,L,0,1,W,Turkey
Germany,W,1,0,L,South Korea
Brazil,W,1,0,L,Turkey
South Korea,L,2,3,W,Turkey
Germany,L,0,2,W,Brazil
