home,homeresult,scorehome,scoreaway,awayresult,away
United States,D,1,1,D,Switzerland
Colombia,L,1,3,W,Romania
Romania,L,1,4,W,Switzerland
United States,W,2,1,L,Colombia
United States,L,0,1,W,Romania
Switzerland,L,0,2,W,Colombia
Cameroon,D,2,2,D,Sweden
Brazil,W,2,0,L,Russia
Brazil,W,3,0,L,Cameroon
Sweden,W,3,1,L,Russia
Russia,W,6,1,L,Cameroon
Brazil,D,1,1,D,Sweden
Germany,W,1,0,L,Bolivia
Spain,D,2,2,D,South Korea
Germany,D,1,1,D,Spain
South Korea,D,0,0,D,Bolivia
Bolivia,L,1,3,W,Spain
Germany,W,3,2,L,South Korea
Argentina,W,4,0,L,Greece
Nigeria,W,3,0,L,Bulgaria
Argentina,W,2,1,L,Nigeria
Greece,L,0,4,W,Bulgaria
Greece,L,0,2,W,Nigeria
Argentina,L,0,2,W,Bulgaria
Italy,L,0,1,W,Ireland
Norway,W,1,0,L,Mexico
Italy,W,1,0,L,Norway
Mexico,W,2,1,L,Ireland
Ireland,D,0,0,D,Norway
Italy,D,1,1,D,Mexico
Belgium,W,1,0,L,Morocco
Netherlands,W,2,1,L,Saudi Arabia
Belgium,W,1,0,L,Netherlands
Saudi Arabia,W,2,1,L,Morocco
Morocco,L,1,2,W,Netherlands
Belgium,L,0,1,W,Saudi Arabia
