Abdullahi Shehu, 7.14
Ahmed Musa, 6.89
Alex Iwobi, 6.85
Brian Idowu, 6.44
Chidozie Awaziem, 6.70
Daniel Akpeyi, 6.50
Elderson Echiéjilé, 6.41
Francis Uzoho, 7.1
Ikechukwu Ezenwa, 6.50
Joel Obi, 6.99
John Ogu, 6.74
John Obi Mikel, 7.32
Kelechi Iheanacho, 6.24
Kenneth Omeruo, 7.06
Leon Balogun, 6.76
Odion Ighalo, 7.12
Ogenyi Onazi, 6.92
Oghenekaro Etebo, 6.84
Wilfred Ndidi, 7.17
Simy, 6.16
Tyronne Ebuehi, 6.83
Victor Moses, 6.87
William Troost-Ekong, 6.67
